%time powercore powersram powertrans tempcore tempsram temptrans
3.725 0.20385 1.4652 0.40096 2.00239305535 1.4910858852 1.36233542244
3.726 0.19709 1.46737 0.38215 2.00388414948 1.49107685977 1.3635550219
3.727 0.19727 1.46737 0.38215 1.98689685618 1.49157162888 1.35127419208
3.728 0.20342 1.4652 0.40096 2.00185652953 1.4911678834 1.36241798262
3.729 0.19759 1.46737 0.38215 2.00405682033 1.49115920799 1.36363812361
3.73 0.19713 1.46737 0.38215 1.98793324632 1.49165615403 1.35135709772
3.731 0.20366 1.4652 0.40096 2.00233514114 1.49125379073 1.36250269337
3.732 0.19779 1.46737 0.38215 2.00542085901 1.49124660348 1.36372350444
3.733 0.19707 1.46737 0.38215 1.98857812655 1.4917447982 1.35144440641
3.734 0.20368 1.4652 0.40096 2.00245114881 1.49134191387 1.36259045742
3.735 0.19745 1.46737 0.38215 2.00466388238 1.49133321707 1.36381192264
3.736 0.19727 1.46737 0.38215 1.98820018273 1.4918302065 1.3515319791
3.737 0.20366 1.4652 0.40096 2.00292268844 1.49142789273 1.36267787991
3.738 0.19687 1.46737 0.38215 2.00316139951 1.49141762846 1.36389835602
3.739 0.19721 1.46737 0.38215 1.98635317572 1.49191122287 1.35161742262
3.74 0.20386 1.4652 0.40096 2.00307547159 1.49150924861 1.36276183401
3.741 0.19765 1.46737 0.38215 2.0058276677 1.49150365144 1.36398266118
3.742 0.19745 1.46737 0.38215 1.98952023395 1.49200243768 1.35170325213
3.743 0.20432 1.4652 0.40096 2.00555347104 1.49160329159 1.36285056585
3.744 0.19739 1.46737 0.38215 2.00689691953 1.49159791435 1.36407379383
3.745 0.19739 1.46737 0.38215 1.98899339378 1.49209440348 1.35179595555
3.746 0.20368 1.4652 0.40096 2.00372897658 1.49169126439 1.36294274006
3.747 0.19759 1.46737 0.38215 2.00554510318 1.49168279203 1.36416428145
3.748 0.19775 1.46737 0.38215 1.99033900384 1.49218065214 1.35188455503
3.749 0.203 1.4652 0.40096 2.00304008741 1.49177768824 1.36303035838
3.75 0.19779 1.46737 0.38215 2.00427852583 1.49176616821 1.36425066619
3.751 0.19825 1.46708 0.38215 1.99210209463 1.49219757613 1.35197046079
3.752 0.20325 1.46549 0.40096 2.00532946399 1.49185495505 1.36311704511
3.753 0.19707 1.46737 0.38215 2.00342485661 1.49191578072 1.36433847653
3.754 0.19876 1.46694 0.38215 1.99160057869 1.49225965411 1.35205843362
3.755 0.20201 1.46564 0.40096 2.00332291933 1.49193874689 1.36320452092
3.756 0.19753 1.46737 0.38215 2.00113367044 1.4920301399 1.36442433548
3.757 0.19918 1.46679 0.38215 1.99365490194 1.49231368446 1.35214301487
3.758 0.20164 1.46578 0.40096 2.00369901896 1.49201877249 1.36328906254
3.759 0.19765 1.46737 0.38215 2.00063944945 1.49214513764 1.36450918906
3.76 0.2001 1.46665 0.38215 1.99648765743 1.49237344775 1.35222871189
3.761 0.20095 1.46593 0.40096 2.0047463714 1.49210817704 1.3633766059
3.762 0.19707 1.46737 0.38215 1.99752175578 1.49226414906 1.36459733855
3.763 0.20058 1.4665 0.38215 1.99593921751 1.49242661793 1.352315967
3.764 0.20021 1.46607 0.40096 2.00392481718 1.49218514799 1.36346275508
3.765 0.19753 1.46737 0.38215 1.99671471726 1.49237652692 1.36468231377
3.766 0.20101 1.46622 0.38215 1.99825020903 1.4924506816 1.35240041979
3.767 0.19974 1.46636 0.40096 2.0041538488 1.4922648184 1.36354790719
3.768 0.19725 1.46737 0.38215 1.99486401189 1.49252310445 1.36476778079
3.769 0.20192 1.46593 0.38215 1.99980654012 1.49247736369 1.35248599049
3.77 0.19921 1.46665 0.40096 2.00538157067 1.49234497556 1.36363428862
3.771 0.19741 1.46737 0.38215 1.99415979461 1.49267348821 1.36485481204
3.772 0.20252 1.46593 0.38215 2.001886122 1.4925763575 1.35257352775
3.773 0.19912 1.46665 0.40096 2.00709019356 1.49244117384 1.36372309243
3.774 0.19721 1.46737 0.38215 1.99375598703 1.49276628588 1.36494459694
3.775 0.2029 1.46564 0.38908 2.00247113097 1.49259952613 1.35745987224
3.776 0.19835 1.46694 0.39403 2.00619106869 1.49251987271 1.36454711326
3.777 0.19707 1.46737 0.38215 1.99129620467 1.49291447205 1.36064810941
3.778 0.20357 1.46535 0.397 2.00363408933 1.49262772521 1.36242614798
